card_id,url,dataset_slug,source_message_id,title_ru,card_split_total,variants_count,has_short_prompt_lt_200,short_prompts_count,shortest_prompt_len,single_card_but_multi_variants,notes
8d598e63-e37a-4018-a1b8-96e58b82b4e3,https://promptshot.ru/p/da-vse-uzh-razobralas-spasibo-bolshoe-8d598,ChatBananahMama_ChatExport_2026-03-15,17319,Да все уж разобралась спасибо большое,1,1,1,1,40,0,short_prompt
3c30afb0-ce8d-408b-b211-72c67157c12d,https://promptshot.ru/p/1-promtkrupnyy-portret-muzhchiny-v-vannoy-pered-zerkalom-muzhchina-sportivnogo-t-3c30a,ChatBananahMama_ChatExport_2026-03-15,9936,"Вау, это кайфуля... Еще к 23 что нибудь будет",1,1,1,1,49,0,short_prompt
aa2ba4cd-f43b-47fa-b00f-28ef2fa4c7d5,https://promptshot.ru/p/u-vas-khotya-by-estetikaa-u-menya-upd-nekrasivo-vse-vykhodit-aa2ba,ChatBananahMama_ChatExport_2026-03-15,16227,У Вас хотя бы эстетикаА у меня 🤣Упд Некрасиво все выходит :,1,1,1,1,61,0,short_prompt
80bfdc07-8044-48bf-b550-29407ff79e24,https://promptshot.ru/p/kinematograficheskiy-effekt-s-dobavleniem-zerna-ekstremalno-krupnyy-plan-litsa-d-80bfd,ChatBananahMama_ChatExport_2026-03-15,3835,А можно на фоне церкви и чтоб был вертеп и в огоньках всё,1,1,1,1,74,0,short_prompt
1241bfe4-c35b-4dba-b412-010e6d11f9c7,https://promptshot.ru/p/vam-pryam-vse-fotosessii-podkhodyat-ochen-klassno-1241b,ChatBananahMama_ChatExport_2026-03-15,1743,Вам прям все фотосессии подходят !! Очень классно,1,1,1,1,52,0,short_prompt
cbf42036-600f-4214-a736-2f87b317ace8,https://promptshot.ru/p/spasibo-mne-kak-raz-muzyka-nuzhna-a-tut-v-bote-vse-est-zhelayu-vam-udachi-i-prot-cbf42,ChatBananahMama_ChatExport_2026-03-15,334,"Спасибо, мне как раз музыка нужна а тут в боте все есть  желаю вам удачи и процветания",1,1,1,1,86,0,short_prompt
bbb12d65-30b6-4c40-a42f-8e010e8a4377,https://promptshot.ru/p/shag-1-bbb12,Hvhvgybot_ChatExport_2026-03-15,244,Шаг 1,1,1,1,1,178,0,short_prompt
72abbd91-dd6f-4bbc-a594-1d046b2c17d9,https://promptshot.ru/p/ne-menyay-cherty-litsa-sozday-vintazhnuyu-viktorianskuyu-rozhdestvenskuyu-otkryt-72abb,ChatBananahMama_ChatExport_2026-03-15,3956,"Какая красота получилась, спасибо большое",1,1,1,1,44,0,short_prompt
ec3c0119-6340-4126-ab5f-12b8980af77d,https://promptshot.ru/p/ne-menyaya-vneshnosti-zhenshchiny-s-foto-dinamichnyy-kadr-ona-idet-vpered-na-kam-ec3c0,ChatBananahMama_ChatExport_2026-03-15,683,"Для видео: Сохранить лицо , камера плавно движется ,Девушка внутри ледяной глыбы разбивает ее ногой , выходит и идет на ",1,1,1,1,170,0,short_prompt
beaa2276-4593-4620-b3cd-fb7d1c619743,https://promptshot.ru/p/sdelay-foto-s-devushkoy-iz-etogo-foto-photo-of-a-female-doctor-standing-with-doc-beaa2,ChatBananahMama_ChatExport_2026-03-15,702,"И через него сделать , инструкция прикреплена к посту",1,1,1,1,53,0,short_prompt
1d48f603-9b00-476e-a616-4e7004befc56,https://promptshot.ru/p/sozday-retro-foto-krupnym-planom-v-stile-1990kh-godov-zhenshchina-i-muzhchina-on-1d48f,ChatBananahMama_ChatExport_2026-03-15,2222,В принципе не плохо. Но муж кучерявый вышел,1,1,1,1,45,0,short_prompt
9c9ca724-ea5d-4b3f-acd0-83f2e2647c6d,https://promptshot.ru/p/sport-shik-na-fone-porsche-3-9c9ca,lexy_15.02.26,69,Спорт шик на фоне Porsche,4,1,1,1,7,0,short_prompt
f818a7ff-ed3c-42f4-a936-f967b19c2fcf,https://promptshot.ru/p/uzhe-na-kanale-kidayte-v-kommentarii-chto-u-vas-poluchitsya-f818a,ChatBananahMama_ChatExport_2026-03-15,1137,Уже на канале 🥰Кидайте в комментарии что у вас получится,1,1,1,1,60,0,short_prompt
313bfdd1-72ac-459c-b332-62abf5c82467,https://promptshot.ru/p/1promtmozhete-menyat-vozrastne-menyaya-vneshnosti-cheloveka-s-foto-pered-nami-st-313bf,ChatBananahMama_ChatExport_2026-03-15,1216,"Так же можно немного переписав, получить фото для девочки",1,1,1,1,60,0,short_prompt
7f8d5fb9-fbe3-4cc0-9a77-3d5f67b34d0e,https://promptshot.ru/p/vam-pomoch-razobratsya-kak-delat-fotosessiyu-7f8d5,ChatBananahMama_ChatExport_2026-03-15,1126,Вам помочь разобраться как делать фотосессию,1,1,1,1,46,0,short_prompt
